iter	Passed	Remaining
0	6	2504
1	6	1308
2	6	876
3	6	659
4	6	530
5	6	444
6	6	382
7	6	336
8	6	301
9	6	271
10	7	248
11	7	228
12	7	212
13	7	198
14	7	185
15	7	174
16	7	164
17	7	156
18	7	148
19	7	141
20	7	135
21	7	129
22	7	124
23	7	119
24	7	115
25	7	111
26	7	107
27	7	103
28	7	100
29	7	97
30	7	94
31	7	91
32	8	89
33	8	86
34	8	84
35	8	82
36	8	80
37	8	78
38	8	76
39	8	74
40	8	73
41	8	71
42	8	69
43	8	68
44	8	67
45	8	65
46	8	64
47	8	63
48	8	61
49	8	60
50	8	59
51	8	58
52	8	57
53	8	56
54	8	55
55	8	54
56	8	53
57	8	52
58	9	52
59	9	51
60	9	50
61	9	49
62	9	49
63	9	48
64	9	47
65	9	47
66	9	46
67	9	45
68	9	45
69	9	44
70	9	43
71	9	43
72	9	42
73	9	42
74	9	41
75	9	41
76	9	40
77	9	40
78	9	39
79	9	39
80	9	38
81	9	38
82	9	37
83	9	37
84	10	37
85	10	36
86	10	36
87	10	35
88	10	35
89	10	35
90	10	34
91	10	34
92	10	34
93	10	33
94	10	33
95	10	33
96	10	32
97	10	32
98	10	32
99	10	31
100	10	31
101	10	31
102	10	31
103	10	30
104	10	30
105	10	30
106	10	29
107	10	29
108	11	29
109	11	29
110	11	28
111	11	28
112	11	28
113	11	28
114	11	27
115	11	27
116	11	27
117	11	27
118	11	26
119	11	26
120	11	26
121	11	26
122	11	25
123	11	25
124	11	25
125	11	25
126	11	25
127	11	24
128	11	24
129	11	24
130	11	24
131	11	24
132	11	23
133	11	23
134	11	23
135	11	23
136	12	23
137	12	22
138	12	22
139	12	22
140	12	22
141	12	22
142	12	22
143	12	21
144	12	21
145	12	21
146	12	21
147	12	21
148	12	21
149	12	20
150	12	20
151	12	20
152	12	20
153	12	20
154	12	20
155	12	20
156	12	19
157	12	19
158	12	19
159	13	19
160	13	19
161	13	19
162	13	19
163	13	18
164	13	18
165	13	18
166	13	18
167	13	18
168	13	18
169	13	18
170	13	18
171	13	18
172	13	17
173	13	17
174	13	17
175	13	17
176	13	17
177	13	17
178	13	17
179	13	17
180	13	16
181	14	16
182	14	16
183	14	16
184	14	16
185	14	16
186	14	16
187	14	16
188	14	15
189	14	15
190	14	15
191	14	15
192	14	15
193	14	15
194	14	15
195	14	15
196	14	15
197	14	14
198	14	14
199	14	14
200	14	14
201	14	14
202	14	14
203	14	14
204	14	14
205	14	14
206	15	14
207	15	13
208	15	13
209	15	13
210	15	13
211	15	13
212	15	13
213	15	13
214	15	13
215	15	13
216	15	13
217	15	12
218	15	12
219	15	12
220	15	12
221	15	12
222	15	12
223	15	12
224	15	12
225	15	12
226	15	12
227	15	11
228	15	11
229	15	11
230	15	11
231	16	11
232	16	11
233	16	11
234	16	11
235	16	11
236	16	11
237	16	11
238	16	11
239	16	10
240	16	10
241	16	10
242	16	10
243	16	10
244	16	10
245	16	10
246	16	10
247	16	10
248	16	10
249	16	10
250	16	10
251	16	9
252	16	9
253	16	9
254	17	9
255	17	9
256	17	9
257	17	9
258	17	9
259	17	9
260	17	9
261	17	9
262	17	9
263	17	8
264	17	8
265	17	8
266	17	8
267	17	8
268	17	8
269	17	8
270	17	8
271	17	8
272	17	8
273	17	8
274	17	8
275	17	7
276	17	7
277	17	7
278	17	7
279	17	7
280	17	7
281	17	7
282	18	7
283	18	7
284	18	7
285	18	7
286	18	7
287	18	7
288	18	6
289	18	6
290	18	6
291	18	6
292	18	6
293	18	6
294	18	6
295	18	6
296	18	6
297	18	6
298	18	6
299	18	6
300	18	6
301	18	6
302	18	5
303	18	5
304	18	5
305	18	5
306	18	5
307	18	5
308	18	5
309	18	5
310	19	5
311	19	5
312	19	5
313	19	5
314	19	5
315	19	5
316	19	5
317	19	4
318	19	4
319	19	4
320	19	4
321	19	4
322	19	4
323	19	4
324	19	4
325	19	4
326	19	4
327	19	4
328	19	4
329	19	4
330	19	4
331	19	4
332	19	3
333	19	3
334	19	3
335	19	3
336	20	3
337	20	3
338	20	3
339	20	3
340	20	3
341	20	3
342	20	3
343	20	3
344	20	3
345	20	3
346	20	3
347	20	3
348	20	2
349	20	2
350	20	2
351	20	2
352	20	2
353	20	2
354	20	2
355	20	2
356	20	2
357	20	2
358	20	2
359	20	2
360	20	2
361	20	2
362	21	2
363	21	2
364	21	2
365	21	1
366	21	1
367	21	1
368	21	1
369	21	1
370	21	1
371	21	1
372	21	1
373	21	1
374	21	1
375	21	1
376	21	1
377	21	1
378	21	1
379	21	1
380	21	1
381	21	1
382	21	0
383	21	0
384	21	0
385	21	0
386	21	0
387	22	0
388	22	0
389	22	0
390	22	0
391	22	0
392	22	0
393	22	0
394	22	0
395	22	0
396	22	0
397	22	0
398	22	0
399	22	0
